order_id	order_date	store_name	pay_method	deliver_date	landed_days	planned_days	cust_id	cust_name	cust_type	city	province	region	product_id	product	category	subcategory	sales	amount	discount	profit	rate	return	satisfied	dt
CN-2022-103607	2022/12/31	海恒店	其它	2022/12/31	0 	1	Cust-20380	潘盛	消费者	厦门	福建	华东	Prod-10004011	Advantus_按钉_每包_12_个	办公类	系固件	258.72	4	0	8.276	3.20%	0	0	2022
CN-2022-103618	2022/12/31	众兴店	支付宝	2022/12/31	0 	0	Cust-19345	洪强	公司	西昌	四川	西南	Prod-10003071	Cuisinart_烤面包机_黑色	办公类	器具	246.82	1	0	7.875	3.19%	0	0	2022
CN-2022-103614	2022/12/31	庐江店	信用卡	2022/12/31	0 	0	Cust-13615	范恒	消费者	新石	湖北	中南	Prod-10001318	GlobeWeis_搭扣信封_回收	办公类	信封	121.8	3	0	3.83	3.14%	0	0	2022
CN-2022-103617	2022/12/31	金寨店	支付宝	2022/12/31	0 	1	Cust-19345	洪强	公司	西昌	四川	西南	Prod-10002164	Avery_装订机_透明	办公类	装订机	57.68	1	0	1.751	3.04%	0	0	2022
CN-2022-103615	2022/12/31	海恒店	信用卡	2022/12/31	0 	1	Cust-19345	洪强	公司	西昌	四川	西南	Prod-10002450	Hon_折叠椅_红色	家具类	椅子	1899.8	5	0	55.018	2.90%	0	0	2022
CN-2022-103606	2022/12/31	众兴店	信用卡	2022/12/31	0 	1	Cust-13255	韩莞颖	小型企业	宁波	浙江	华东	Prod-10003826	Accos_回形针_整包	办公类	系固件	524.16	8	0	14.515	2.77%	0	0	2022
CN-2022-103605	2022/12/31	定远店	信用卡	2022/12/31	0 	0	Cust-12010	王丹	消费者	天津	天津	华北	Prod-10004673	Smead_盒_蓝色	办公类	收纳具	251.3	5	0	6.91	2.75%	0	1	2022
CN-2022-103608	2022/12/31	海恒店	信用卡	2022/12/31	0 	0	Cust-12970	佘凤	公司	北京	北京	华北	Prod-10000702	Hoover_咖啡研磨机_红色	办公类	器具	963.06	3	0	25.916	2.69%	0	0	2022
CN-2022-103619	2022/12/31	金寨店	支付宝	2022/12/31	0 	1	Cust-19345	洪强	公司	西昌	四川	西南	Prod-10002399	Green_Bar_备忘录便条_回收	办公类	纸张	393.4	5	0	8.694	2.21%	0	0	2022
CN-2022-103616	2022/12/31	庐江店	信用卡	2022/12/31	0 	0	Cust-19345	洪强	公司	西昌	四川	西南	Prod-10000207	Enermax_闪存驱动器_实惠	技术类	配件	193.76	1	0	3.892	2.01%	0	0	2022
CN-2022-103610	2022/12/31	定远店	支付宝	2022/12/31	0 	0	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10002100	Fiskars_修剪器_工业	办公类	用品	491.904	4	0.4	-0.41	-0.08%	0	0	2022
CN-2022-103611	2022/12/31	庐江店	微信	2022/12/31	0 	0	Cust-13090	常刚	消费者	汕尾	广东	中南	Prod-10002106	Stiletto_修剪器_钢	办公类	用品	472.08	4	0.4	-4.91	-1.04%	0	0	2022
CN-2022-103612	2022/12/31	金寨店	微信	2022/12/31	0 	0	Cust-19600	林青	消费者	哈尔滨	黑龙江	东北	Prod-10001222	Chromcraft_培训桌_黑色	家具类	桌子	2119.712	4	0.6	-58.15	-2.74%	0	0	2022
CN-2022-103609	2022/12/31	临泉店	信用卡	2022/12/31	0 	1	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10000783	罗技_键盘_回收	技术类	配件	393.456	2	0.4	-12.57	-3.19%	0	0	2022
CN-2022-103604	2022/12/31	燎原店	其它	2022/12/31	0 	0	Cust-12010	王丹	消费者	天津	天津	华北	Prod-10002236	贝尔金_路由器_可编程	技术类	配件	2914.8	4	0.4	-98.16	-3.37%	0	0	2022
CN-2022-103613	2022/12/31	临泉店	支付宝	2022/12/31	0 	1	Cust-19600	林青	消费者	哈尔滨	黑龙江	东北	Prod-10004120	OIC_橡皮筋_金属	办公类	系固件	96.264	2	0.4	-4.425	-4.60%	0	0	2022
CN-2022-103595	2022/12/30	人民店	信用卡	2022/12/30	0 	0	Cust-11020	余婵	公司	包头	内蒙古	华北	Prod-10004286	Avery_有色标签_耐用	办公类	标签	446.88	7	0	25.86	5.79%	0	0	2022
CN-2022-103594	2022/12/30	燎原店	微信	2022/12/30	0 	0	Cust-11020	余婵	公司	包头	内蒙古	华北	Prod-10002028	Cameo_外皮和封条_每套_50_个	办公类	信封	392	4	0	18.155	4.63%	0	0	2022
CN-2022-103596	2022/12/30	燎原店	支付宝	2022/12/30	0 	0	Cust-11020	余婵	公司	包头	内蒙古	华北	Prod-10002658	Cameo_局间信封_银色	办公类	信封	697.62	3	0	27.67	3.97%	0	0	2022
CN-2022-103591	2022/12/30	海恒店	支付宝	2022/12/30	0 	0	Cust-10975	白婵	公司	莆田	福建	华东	Prod-10001088	Fiskars_美工刀_钢	办公类	用品	488.88	3	0	19.19	3.93%	0	0	2022
CN-2022-103590	2022/12/30	燎原店	其它	2022/12/30	0 	0	Cust-15205	薛君	消费者	济宁	内蒙古	华北	Prod-10001327	Enermax_记忆卡_实惠	技术类	配件	1601.46	3	0	56.814	3.55%	0	0	2022
CN-2022-103593	2022/12/30	人民店	支付宝	2022/12/30	0 	0	Cust-19090	曹鹏	消费者	锡林浩特	内蒙古	华北	Prod-10000198	Rogers_盒_工业	办公类	收纳具	570.5	5	0	19.079	3.34%	0	0	2022
CN-2022-103589	2022/12/30	长泰店	信用卡	2022/12/30	0 	0	Cust-10975	白婵	公司	莆田	福建	华东	Prod-10000765	Wilson_Jones_孔加固材料_回收	办公类	装订机	159.74	7	0	5.055	3.16%	0	0	2022
CN-2022-103600	2022/12/30	临泉店	其它	2022/12/31	1 	1	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10004354	Enermax_笔记本_多色	办公类	纸张	697.9	5	0	18.7925	2.69%	0	0	2022
CN-2022-103592	2022/12/30	众兴店	信用卡	2022/12/30	0 	0	Cust-19945	贺绅	消费者	上海	上海	华东	Prod-10000166	SanDisk_闪存驱动器_耐用	技术类	配件	927.5	5	0	23.4075	2.52%	0	0	2022
CN-2022-103588	2022/12/30	人民店	微信	2022/12/30	0 	0	Cust-10975	白婵	公司	莆田	福建	华东	Prod-10000254	KitchenAid_咖啡研磨机_白色	办公类	器具	960.54	3	0	20.212	2.10%	0	0	2022
CN-2022-103599	2022/12/30	临泉店	其它	2022/12/31	1 	1	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10004097	Advantus_回形针_每包_12_个	办公类	系固件	74.928	2	0.4	-0.864	-1.15%	0	0	2022
CN-2022-103601	2022/12/30	定远店	信用卡	2022/12/31	1 	1	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10001132	Hon_椅垫_黑色	家具类	椅子	446.04	3	0.4	-5.97	-1.34%	0	0	2022
CN-2022-103598	2022/12/30	众兴店	支付宝	2022/12/31	1 	1	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10003570	Harbour_Creations_凳子_每套两件	家具类	椅子	3574.452	7	0.4	-49.74	-1.39%	0	0	2022
CN-2022-103597	2022/12/30	众兴店	微信	2022/12/31	1 	1	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10003663	Eldon_框架_一包多件	家具类	用具	1954.008	6	0.4	-34.23	-1.75%	0	0	2022
CN-2022-103602	2022/12/30	人民店	其它	2022/12/31	1 	1	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10003833	柯尼卡_卡片打印机_耐用	技术类	设备	2454.06	5	0.4	-60.87	-2.48%	0	0	2022
CN-2022-103603	2022/12/30	临泉店	信用卡	2022/12/31	1 	1	Cust-20005	韦绅	消费者	咸阳	陕西	西北	Prod-10002929	三星_耳机_蓝色	技术类	电话	614.88	3	0.4	-19.085	-3.10%	0	0	2022
CN-2022-103585	2022/12/27	定远店	微信	2022/12/31	4 	4	Cust-15595	巩关茵	公司	青岛	山东	华东	Prod-10004523	Cameo_马尼拉纸信封_回收	办公类	信封	361.2	3	0	15.855	4.39%	0	0	2022
CN-2022-103581	2022/12/27	长泰店	信用卡	2022/12/31	4 	4	Cust-21505	邢伟	消费者	肃州	甘肃	西北	Prod-10003175	Avery_装订机_实惠	办公类	装订机	120.4	2	0	4.779	3.97%	0	0	2022
CN-2022-103582	2022/12/27	庐江店	信用卡	2022/12/31	4 	4	Cust-12430	苏冬露	小型企业	包头	内蒙古	华北	Prod-10000366	Avery_孔加固材料_回收	办公类	装订机	89.04	4	0	3.244	3.64%	0	0	2022
CN-2022-103578	2022/12/27	临泉店	其它	2022/12/29	2 	3	Cust-15715	邵兰	消费者	九江	江西	华东	Prod-10004907	Ames_局间信封_银色	办公类	信封	443.52	2	0	16.13	3.64%	0	0	2022
CN-2022-103583	2022/12/27	人民店	其它	2022/12/31	4 	4	Cust-12430	苏冬露	小型企业	包头	内蒙古	华北	Prod-10002649	诺基亚_耳机_全尺寸	技术类	电话	347.2	1	0	11.56	3.33%	0	0	2022
CN-2022-103586	2022/12/27	燎原店	其它	2022/12/31	4 	4	Cust-15595	巩关茵	公司	青岛	山东	华东	Prod-10002059	Tenex_搁板_工业	办公类	收纳具	514.64	2	0	16.69125	3.24%	0	0	2022
CN-2022-103579	2022/12/27	庐江店	其它	2022/12/29	2 	3	Cust-15715	邵兰	消费者	九江	江西	华东	Prod-10000557	Sauder_搁架_金属	家具类	书架	1811.04	2	0	54.702	3.02%	0	0	2022
CN-2022-103587	2022/12/27	庐江店	支付宝	2022/12/31	4 	4	Cust-13210	程根基	消费者	武汉	湖北	中南	Prod-10003644	Kraft_外皮和封条_回收	办公类	信封	270.06	3	0	6.544	2.42%	0	0	2022
CN-2022-103584	2022/12/27	人民店	其它	2022/12/31	4 	4	Cust-12430	苏冬露	小型企业	包头	内蒙古	华北	Prod-10002448	SAFCO_折叠椅_红色	家具类	椅子	1599.92	4	0	35.624	2.23%	0	0	2022
CN-2022-103580	2022/12/27	定远店	支付宝	2022/12/31	4 	4	Cust-21745	黎雯	公司	成都	四川	西南	Prod-10001067	罗技_闪存驱动器_实惠	技术类	配件	170.856	2	0.4	-7.465	-4.37%	0	0	2022
CN-2022-103572	2022/12/26	长泰店	信用卡	2022/12/28	2 	1	Cust-20905	廖宣	消费者	南宁	广西	中南	Prod-10000908	Office_Star_凳子_每套两件	家具类	椅子	4111.1	5	0	152.05	3.70%	0	0	2022
CN-2022-103575	2022/12/26	长泰店	支付宝	2022/12/28	2 	1	Cust-20905	廖宣	消费者	南宁	广西	中南	Prod-10001701	Office_Star_折叠椅_每套两件	家具类	椅子	876.96	2	0	24.33125	2.77%	0	0	2022
CN-2022-103574	2022/12/26	长泰店	信用卡	2022/12/28	2 	1	Cust-20905	廖宣	消费者	南宁	广西	中南	Prod-10000356	GlobeWeis_商业信封_红色	办公类	信封	682.08	7	0	18.79	2.75%	0	0	2022
CN-2022-103576	2022/12/26	庐江店	支付宝	2022/12/30	4 	4	Cust-17170	宋良	公司	仙桃	湖北	中南	Prod-10004521	Green_Bar_信纸_优质	办公类	纸张	451.64	2	0	11.25	2.49%	0	0	2022
CN-2022-103573	2022/12/26	众兴店	其它	2022/12/28	2 	1	Cust-20905	廖宣	消费者	南宁	广西	中南	Prod-10003836	Hoover_咖啡研磨机_白色	办公类	器具	624.68	2	0	15.136	2.42%	0	0	2022
CN-2022-103577	2022/12/26	海恒店	信用卡	2022/12/30	4 	4	Cust-17170	宋良	公司	仙桃	湖北	中南	Prod-10004358	Brother_传真机_数字化	技术类	复印机	1781.808	2	0.4	-62.74	-3.52%	0	0	2022
CN-2022-103556	2022/12/25	临泉店	其它	2022/12/29	4 	4	Cust-14200	曹欢悦	小型企业	罗城	四川	西南	Prod-10003861	Avery_打孔机_实惠	办公类	装订机	260.12	2	0	14.04	5.40%	0	0	2022
CN-2022-103566	2022/12/25	燎原店	其它	2022/12/31	6 	6	Cust-14050	白鹄	消费者	上海	上海	华东	Prod-10002438	StarTech_打印机_多色	技术类	设备	4781.84	4	0	210.33	4.40%	0	0	2022
CN-2022-103554	2022/12/25	众兴店	信用卡	2022/12/27	2 	1	Cust-16795	廖立	小型企业	漳州	福建	华东	Prod-10002836	Avery_订书机_回收	办公类	装订机	688.8	3	0	28.22	4.10%	0	0	2022
